너무 비싼데 개인 헤드셋 가져와서 사용해도 되나요?	개인 헤드셋을 가져오셔서 사용하시는 건 자유입니다
물티슈도 있나요?	아니요 물티슈는 따로 구비되어 있지 않습니다
그럼 여기 베그도 가맹점인가요?	네 그렇습니다
가맹점 혜택이 뭔데요?	몇 가지 아이템을 더 사용하실 수 있어요
여기 피파온라인 가맹점인가요?	네 피파 가맹점입니다
오버워치 깔려 있나요?	네 이용 가능합니다
스타크래프트 설치되어 있나요?	네 모든 PC에 설치되어 있습니다
혹시 오버 위치도 깔려있나요?	네 물론이죠
배그 깔려있나요?	배그랑 오버워치 롤 등 거의 다 깔려있어요
이 매장에 데바 대가 깔려있나요?	아니요
그럼 데바데 깔아주실 수 있나요?	깔아드릴게요
이제 되는 건가요?	네 즐거운 게임 하세요
왜 안되는 건가요?	인터넷 선이 빠졌네요
게임이 실행이 안돼요	확인해볼게요
게임하면서 음료 마시고 싶은데 현금 결제만 되나요?	나가실 때 카드로 계산하실 수 있습니다
결제는 어떻게 하면 되나요?	뒤에 보이시는 화면에서 결제 가능합니다
그럼 결제 미리 할게요	네 결제 도와드릴게요
계산 좀 해주실래요?	네 2만 원입니다
네 햄버거 콜라 카드로 결제 좀 해주세요	2500원입니다
카드로 결제해주세요	네 알겠습니다
선불로 하고 싶은데요	화면 오른쪽 위에 선불 이용 버튼 있습니다
삼성페이나 카카오페이도 혹시 가능한가요?	예 삼성페이나 카카오페이 가능합니다
삼성페이나 카카오페이도 되나요?	삼성페이는 되는데 카카오페이는 안 됩니다
삼성페이나 카카오페이도 혹시 가능한가요?	삼성페이 카카오페이 다 가능합니다
카카오페이나 삼성페이도 가능한가요?	예 카카오페이나 삼성페이도 가능합니다
삼성페이나 카카오페이도 가능할까요?	예 삼성페이나 카카오페이도 가능합니다
카카오페이나 삼성페이도 가능할까요?	카카오페이는 안 됩니다
카카오페이나 삼성페이도 가능한가요?	예 카카오페이나 삼성페이도 계산 가능합니다
카카오페이나 삼성페이도 가능할까요?	예 카카오페이나 삼성 파이로 계산 가능합니다
카카오페이나 삼성페이도 혹시 가능한가요?	예 카카오페이나 삼성 파이로 계산 가능합니다
계산할 때 삼성페이나 카카오 페이크로도 혹시 가능할까요?	네 삼성페이 카카오 파이로 계산 가능합니다
삼성페이나 카카오페이도 다 가능한가요?	네 삼성페이나 카카오페이 가능합니다
삼성페이나 카카오페이도 결제 가능한가요?	삼성페이랑 카카오페이 결제 다 가능합니다
카카오페이나 삼성페이도 돼요?	삼성페이는 되는데 카카오페이는 안되세요
카카오페이나 삼성페이도 가능하신가요?	네 카카오페이랑 삼성페이 둘 다 결제 가능하세요
카카오페이나 삼성페이도 가능한가요?	네 카카오페이랑 삼성페이 결제 가능하세요
카카오페이나 삼성페이도 가능하세요?	네 카카오페이나 삼성페이도 가능합니다
삼성페이나 카카오페이도 결제 가능한가요?	카카오페이는 결제가 안될 거예요
혹시 결제는 삼성페이나 카카오페이도 가능하신가요?	결제는 카카오페이는 안되고 삼성페이는 되세요
그럼 삼성페이나 카카오페이 이런 거도 안되는 거죠?	네 삼성페이나 카카오페이도 결제 어렵습니다
카드 결제나 삼성페이 이런 것도 다 가능한가요?	저희 가게는 카드기가 없어요
카카오페이나 삼성페이도 가능한가요?	네 카카오페이랑 삼성페이 둘 다 가능하세요
여기 혹시 현금 결제 밖에 안돼요?	카드 결제도 됩니다
여기 현금결제만 되나요?	무인 충전기 사용 시 카드 결제도 가능합니다
계좌 이체로는 계산 가능한가요?	아니요 계좌이체로도 계산은 안 됩니다
금연실로 주세요	1에서 7번까지가 금연석이에요
금연 자리로 주세요	네 결제는 나가실 때 해주시기 바랍니다
금연 룸이 어디인가요?	왼쪽으로 들어가시면 됩니다
금연석 자리 있나요?	네 자리 많이 있어요
금연석인가요?	네 금연석입니다
여기 금연석이 따로 있나요?	저희 pc방은 모든 자리가 금연입니다
비흡연석은 어디인가요?	오른쪽 칸막이가 있는 부분을 빼고는 전부 비흡연석입니다
비흡연석은 어느 쪽인가요?	오른쪽입니다
비흡연석 있나요?	좌측 좌석은 모두 비흡연석이에요
금연 좌석이 있나요?	네 있습니다
금연석이 따로 있나요?	저희 PC방은 전부 금연석입니다
제가 어떻게 하면 될까요?	우선 사장님께 전화드려볼게요
가방을 꺼내다가 모니터를 건드려서 깨버렸네요	저도 CCTV로 봤습니다
혹시 네이버 페이도 되나요?	네이버 페이는 지금 안됩니다
PC방에 6명이 같이 게임할 수 있는 룸이 따로 있나요?	네 있습니다
4명이 같이 앉을 자리 있나요?	두 분씩 나눠서 앉으실 자리는 있어요
4명이 함께 앉을 수 있나요?	확인해보겠습니다
4명이 나란히 앉을 자리 있나요?	앞뒤로 둘둘씩 앉을 수 있는 자리 있습니다
붙어 있는 자리인가요?	네 옆으로 나란히 붙어있는 자리입니다
5명 자리 있나요?	네 5좌석 있습니다
5명 같이 앉을 수 있는 자리 있나요?	저쪽으로 가시면 있습니다
4자리 있나요?	네 있습니다
6명 같이 앉을 수 있을까요?	최대 4명이 한 줄에 앉을 수 있어요
3명이 나란히 붙어있는 자리가 있나요?	안내해 드리겠습니다
지금 3자리 붙어있는 자리는 없나요?	복도 쪽에 사용자분 5분 남으셨어요
4명이 나란히 앉을 자리 있나요?	네 저쪽에 있습니다
끝날 때 다 돼가는 자리 없어요?	예 한 시간은 기다리셔야 됩니다
저희가 두 명인데 옆자리로는 오래 걸릴까요?	네 10분 정도 더 걸릴 거 같아요
언제 자리 나와요?	10분 뒤면 한자리 빌 예정입니다
언제쯤 자리가 생길까요?	앞에 한 분 기다리는 분이 계셔서  조금 더 기다리셔야 돼요
몇 시까지 운영하나요?	24시간입니다
몇 시까지 영업하나요?	24시간 영업하니 밤 새 즐기시기 바랍니다
밤에는 몇 시까지 이용 가능한가요?	저희 피시방은 24시간 운영하고 있습니다
여기 몇 시까지 해요?	밤 11시 반까지 영업합니다
여기 마우스가 작동이 안 돼요	제가 봐드릴게요
혹시 와이파이는 설치되어 있나요?	예 와이파이 있습니다
와아파 이가 설치되어 있나요?	예 와이파이가 설치되어 있습니다
혹시 와이파이는 다 있나요?	예 와이파이 있습니다
와이파이는 다 설치가 되어 있나요	예 와이파이 있습니다
와이파이는 다 설치되어있나요?	예 와이파이가 설치되어 있습니다
와이파이는 설치되어있나요?	예 와이파이 설치되어 있습니다
여기 와이파이는 설치되어있나요?	예 와이파이 설치되어 있습니다
와이파이는 설치가 되어 있나요?	예 와이파이 설치되어 있습니다
와이파이는 설치가 되어있나요?	예 와이파이는 설치되어 있습니다
와이파이 같은 경우는 설치가 되어 있나요?	예 와이파이 설치되어 있습니다
와이파이는 혹시 설치되어있나요?	예 와이파이 설치되어 있습니다
와이파이는 혹시 다 설치가 되어있어요?	예 와이파이는 다 설치되어 있습니다
와이파이는 혹시 다 되어있어요?	예 와이파이는 다 되어 있습니다
혹시 여기 와이파이는 설치가 되어있나요?	예 와이파이가 설치되어 있습니다
혹시 여기 와이파이는 다 설치가 되어있나요?	예 와이파이다 설치되어 있습니다
혹시 여기 와이파이는 다 있나요?	네 와이파이 사용 가능합니다
혹시 와이파이는 다 설치되어있나요?	네 와이파이 설치되어 있습니다
와이파이 같은 거는 다 설치되어 있나요?	와이파이는 다 설치되어 있습니다
혹시 와이파이는 다 설치되어 있나요?	여기는 안 되어있는 걸로 알고 있어요
와이파이는 다 설치되어 있나요?	네 와이파이다 설치되어 있어요
와이파이는 다 설치되어 있나요?	와이파이는 공용 와이파이 연결하시면 됩니다
와이파이는 다 설치되어 있나요?	네 와이파이는 다 설치되어 있어요
여기 와이파이는 다 설치되어 있나요?	와이파이는 다 있어요
여기 와이파이는 다 설치되어 있나요?	네 와이파이다 설치되어 있습니다
와이파이 같은 건 다 설치되어있나요?	와이파이 설치다 됐습니다
와이파이는 다 설치되어 있나요?	네 와이파이는 다 설치되어 있습니다
와이파이는 다 설치되어 있나요?	네 와이파이 전 좌석 다 되어있으세요
혹시 와이파이 같은 건 설치되어 있나요?	당연히 와이파이 설치되어 있습니다
와이파이는 다 설치되어 있나요?	네 와이파이는 다 설치되어 있습니다
와이파이 같은 경우는 다 설치되어 있나요?	네 와이파이다 설치되어 있습니다
혹시 와이파이는 설치되어 있나요?	IP TIME이라고 와이파이 설치되어 있어요
와이파이 같은 건 다 설치되어 있나요?	네 와이파이다 설치되어 있습니다
와이파이도 다 설치되어있어요?	네 와이파이도 다 설치되어있어요
여기 와이파이 비밀번호 어딨어요?	와이파이 비밀번호는 W12345678입니다
여기 와이파이 있어요?	와이파이 키셔서 IP TIME 접속하시면 되세요
와이파이 비밀번호가 어떻게 되나요?	여기에 적혀져 있습니다
와이파이 있나요?	네 있습니다
이거 무인발권기가 지금 안되네요	네 고객님 지금 현재 고장이라 카운터에 직접 말씀해주셔야 합니다
아 5만 원짜리는 안 들어가는데요	카운터에 오시면 교환해드리겠습니다
머신은 어디 있나요?	입구 좌측에 있습니다
무인 결제기 어디 있죠?	이 앞에도 있고 군데군데 설치되어있습니다
자리도 제가 원하는 곳 선택할 수 있는 거예요?	네 맞습니다
무인 기계가 어디 있나요?	입구 쪽에 있습니다
그다음은 어떻게 해요?	자리 찾고 앉으신 후에 로그인하시면 됩니다
5시간 정액제 하려 하는데 어떻게 하는 거죠?	5시간 누르시고 결제방법 선택 후 결제하시면 됩니다
무인결제기 사용 방법을 모르는데 도와주실 수 있나요?	네 가능합니다
키오스크에서 회원가입만 하면 되나요?	로그인하시면 자동 후불로 됩니다
무인발급기 있나요?	무인발급기는 카운터 바로 옆쪽에 이용 가능합니다
혹시 여기 비상구는 따로 있어요?	예 비상구는 따로 있습니다
비상구도 따로 있나요?	비상구도 따로 있습니다
비상구는 있나요?	비상구는 여기랑 저쪽 보시면 있습니다
비상구는 다 마련되어 있나요?	네 비상구 마련 다 되어 있습니다
혹시 비상구는 어느 쪽에 있어요?	비상구는 이쪽 나가는 길에 있습니다
혹시 비상구는 어느 쪽에 있어요?	비상구는 저 뒤쪽에 보시면 있습니다
혹시 비상구는 어느 쪽에 있나요?	비상구는 저 뒤에 있습니다
비상구는 혹시 어느 쪽에 있나요?	비상구는 저기 뒤쪽에 있습니다
여기 혹시 비상구는 어느 쪽에 있을까요?	비상구는 이쪽이랑 저쪽 흡연실 쪽에 있습니다
혹시 비상구는 어느 쪽에 있나요?	비상구는 여기랑 저쪽 히터 옆에 있습니다
혹시 비상구는 어느 쪽에 있어요?	비상구는 저쪽에 있습니다
다른 비상구는 어느 쪽에 있나요?	비상구는 저쪽에 있습니다
비상구는 혹시 어느 쪽에 있나요?	비상구는 이쪽에 있습니다
비상구는 어느 쪽에 있을까요?	뒤에 흡연실에 비상구가 있습니다
여기 혹시 비상구는 따로 어디에 있나요?	비상구는 뒤편에 따로 있습니다
비상구는 어느 쪽에 있어요?	비상구는 저쪽이랑 이쪽에 있습니다
혹시 비상구는 어느 쪽에 있나요?	비상구는 여기 하나랑 저쪽이랑 해서 두 개 있습니다
비상구는 어느 쪽에 있나요?	비상구는 여기 바로 뒤 편에 의자 있는 쪽으로 가시면 보이십니다
비상구는 혹시 어 뒤쪽에 있어요?	저기 안쪽 보시면 비상구 보입니다
비상구는 혹시 어디에 있어요?	비상구는 뒤쪽 보시면 있습니다
여기 비상구는 어디에 있어요?	비상구는 여기 바로 앞에 있습니다
비상구는 어느 쪽에 있나요?	저기 가운데 보시면 비상구 있습니다
비상구는 혹시 어느 쪽에 있어요?	저기 뒤쪽으로 보시면 비상구 보입니다
비상구는 혹시 어느 쪽에 있나요?	비상구는 저쪽에 있습니다
비상구는 어느 쪽에 있나요?	입구 반대쪽으로 가시면 비상구 보입니다
비상구는 어느 쪽에 있어요?	흡연실 쪽 가시면 비상구 보이세요
혹시 비상구는 어느 쪽에 있나요?	저쪽이랑 뒤쪽 보시면 있습니다
비상구는 어디에 있나요?	비상구는 뒤쪽 보시면 비상구 표시되어 있어요
혹시 지금 4자리 있어요?	3자리는 있는데 4자리는 붙어있는 자리가 없네요
두 개가 이어진 좌석이 있나요?	네 있습니다
지금 빈자리 있나요?	전부 만석이라 지금은 컴퓨터 사용이 어려울 것 같습니다
자리 있나요?	네 원하시는 곳에 앉으시면 됩니다
자리 있나요?	있습니다
2명 자리 있어요?	저쪽으로 안내해 드릴게요
자리 있어요?	아니요 만석입니다
남은 자리가 하나도 없나요?	75번 석은 빈자리입니다
자리 있나요?	네 있습니다
자리 있나요?	네 물론이죠
자리 연속 2개 있나요?	25번과 26번 자리가 있네요
빈자리 있나요?	네 4자리 남았습니다
지금 4자리 있어요?	네 오른쪽 구석 끝으로 가세요
좌석은 어디에 있죠?	왼쪽 구석에 있어요
후불로 2 명할 자리가 있나요?	당연히 있죠
3자리 있나요?	네 저쪽에 있습니다
지금 자리 있나요?	네 있어요
지금 pc 자리 있나요?	네 자리 있습니다
자리 있나요?	네 카드 가져가시고 고르시면 됩니다
여기 자리 있나요?	네 자리 많습니다
지금 피시방 가려는데 빈자리 있어요?	자리 많습니다
자리 있나요?	네 자리 있습니다
삼성 페이크로도 계산 가능한가요?	삼성 파이로 계산 가능합니다
삼성페이나 이런 거도 다 결제 가능한가요?	네 삼성페이나 이런 전자결제로 결제 가능합니다
삼성페이 결제 가능한가요?	네 삼성페이 결제 가능하세요
여기 삼성 파이로 결제할 수 있어요?	네 삼성페이 결제 가능합니다
삼성페이도 가능한가요?	네 가능합니다
후불로도 결제가 가능한가요?	예 후불로 결제 가능합니다
후불로도 결제가 가능한가요?	아니요 선불로만 결제 가능합니다
여기 혹시 후불도 가능할까요?	아니요 저희는 선불만 됩니다
선불이에요?	예 선불입니다
혹시 후불도 가능하죠?	예 후불도 가능합니다
후불로도 가능한가요?	아니요 저희는 선불만 가능합니다
후불로도 결제할 수 있나요?	예 후불 결제도 가능합니다
혹시 후불도 가능한가요?	아니요 선불만 가능합니다
여기 후불 선불 둘 다 가능한가요?	후불 선불 둘 다 가능하세요
후불로도 사용 가능한가요?	저희는 후불 안되고 선불만 받고 있어요
후불로 이용해도 되나요?	네 후불로 이용해도 되세요
후불결제도 가능한가요?	네 후불결제도 물론 가능합니다
후불로 해도 가능한가요?	처음에는 무조건 선불로 시작하셔야 되고 더 필요하시면 후불로도 가능하세요
선불만 가능한가요?	네 후불은 안되고 선불만 가능하세요
여기 후불로 이용해도 되나요?	후불은 안되고 모두 다 선불로만 이용 가능하세요
후불도 가능한가요?	후불은 안되고 선불만 가능하세요
후불도 가능한가요?	후불은 안됩니다
후불로 하고 있어도 되나요?	네 자리에 PC 예약되어 있는 거 풀어드릴게요
지금 지불하나요?	이용하시고 나가실 때 지불하시면 됩니다
결제는 이따 나가면서 하면 되죠?	네 PC방 비용이랑 같이 결제하면 됩니다
컬러로 10장 인쇄하려고 하는데 비용은 지금 지불하나요?	프린트 다 하시고 가실 때 한 번에 계산하시면 됩니다
컴퓨터를 다 사용하고 계산은 어떻게 하면 되나요?	컴퓨터는 자동으로 체크되고 프린트는 프린트에 사용된 종이로 계산됩니다
후불 가능한가요?	네 가능합니다
선불인가요?	시간당 하시면 다 하시고 계산하시면 돼요
선불인가요?	네 여기서 결제하시면 카드를 드리는데 그 카드에 적힌 번호 자리로 가시면 됩니다
선불인가요?	처음 이용 시간만 선불이고 나머진 후불입니다
선불로 밖에는 안되는 건가요?	회원으론 선불로만 가능하시고 비회원은 후불로도 되세요
번호 입력하고 결제는 어떻게 하면 되나요?	선불카드 충전하셔서 이용하시면 됩니다
결제는 이따가 같이 해도 되는 거죠?	네 그러세요
네 여기 음료는 선불인가요?	네 계산하시고 가져가시면 됩니다
이 PC방은 후불 사용이 안 되는가 봐요?	선불만 됩니다
음식 주문은 선불인가요?	후불입니다
후불로 이용할 수 있나요?	선불로 먼저 결제를 하셔야 컴퓨터를 사용하실 수 있어요
미리 계산 가능한가요?	가능합니다
후불제도 가능한가요?	선불만 가능합니다
선불로 2시간 결제해도 되나요?	네 가능합니다
음료 결제는 어떻게 하나요?	회원가입하시고 카드 등록 후 결제하시거나 나가실 때 결제하시면 됩니다
후불제로 이용 가능한가요?	저희 pc방은 선불제입니다
네 결제는 언제 하면 될까요?	나가실 때 결제해주세요
주문한 음식 계산은 어떻게 하나요?	선불로 충전한 요금으로 결제하시거나 따로 결제 가능합니다
추가금은 나갈 때 지불해도 되나요?	네 됩니다
이따 다 같이 계산해도 되나요?	라면 값만 먼저 해주시면 됩니다
요금 지불은 후불로 할게요	네 알겠습니다
후불로 할게요	네 카드 가져가세요
시끄러운 게 싫어서 그런데 성인성은 따로 없나요?	안타깝지만 저희는 따로 구분을 하지 않아서요
앞에 초등학생들 너무 시끄러운데 조용히 시켜주시면 안 될까요?	네 당장 가서 저지 시킬게요
언제까지 소리 없이 게임해야 해요?	잠시만요 사장님 불러올게요
그래도 소리가 안 나와요	잠시만 기다려주세요
젓가락  한 개만 더 주세요	네 여기 있습니다
주민등록증 없는데 운전면허증 되나요	네 운전면허증도 됩니다
나이 제한이 있나요?	저희는 초등학생은 받지 않습니다
영수증은 필요 없어요	네 버릴게요
영수증은 필요 없어요	영수증 버려드릴게요
혹시 예약은 가능할까요?	예 예약 가능합니다
혹시 예약은 가능한가요?	예약은 안 됩니다
혹시 예약 같은 거도 가능할까요?	아니요 예약은 안 됩니다
혹시 예약도 가능할까요?	아니요 예약은 안 됩니다
예약은 가능한가요?	예 예약 가능합니다
혹시 예약 같은 거도 가능할까요?	예 예약도 가능합니다
여기 혹시 예약도 가능한가요?	단골분들은 연락 오시면 예약석 지정해드리고 있습니다
혹시 피시방 예약도 가능할까요?	아니요 피시방 예약은 안 됩니다
예약도 혹시 가능할까요?	아니요 예약은 안 됩니다
혹시 예약도 가능합니까?	예 예약 가능합니다
예약이라든지 그런 거는 다 가능한가요?	네 예약 같은 거는 가능하세요
3시 정도에 3자리 예약할 수 있나요?	저희가 자리 76에서 78번 예약해 놓을게요
혹시 자리 예약 가능한가요?	자리 예약은 10분 안에 오셔야 가능하세요
조금 있다가 예약해도 되죠?	네 그럼 예약할 때 말해 주세요
오늘 저녁에 여기 친구들이랑 단체로 올 건데 자리 예약돼요?	자리 예약하기가 좀 난감해서 자리 예약 안 해도 돼요
룸은 미리 예약해야 되나요?	지금도 사용하실 수 있습니다
네 자리 생기면 알려주세요	네  즐거운 시간 되세요
그럼 3명씩 앉을 수 있게 자리 좀 잡아주세요	예약은 따로 받지 않고 있습니다
열 장이면 삼천 원인데 컴퓨터 쓰는데 얼마 드려야 되죠?	비회원은 한 시간에 팔백 원이에요
그러면 만약에 프린트 고치면 장당 얼마 해요?	장당 삼백 원요
주말에는 프린트하려면 비용이 얼마나 들어요?	흑백은 삼백 원, 컬러는 오백 원 이렇게 되거든요
혹시 피시방 영업시간이 어떻게 돼요?	영업시간은 24시간입니다
여기 영업시간이 어떻게 되나요?	영업시간은 24시간입니다
혹시 여기 피시방 영업시간은 어떻게 되세요?	영업시간은 24시간입니다
여기 피시방 영업시간이 혹시 어떻게 되나요?	저희 피시방은 24시간 영업합니다
여기 피시방 영업시간이 어떻게 되나요?	여기는 영업시간이 24시간입니다
여기 피시방 영업시간이 어떻게 되세요?	24시간 영업입니다
혹시 피시방 영업시간이 언제까지인가요?	24시간 영업입니다
여기 혹시 피시방 영업시간이 어떻게 되십니까?	영업시간은 24시간입니다
피시방 영업시간이 어떻게 되나요?	저희 24시간 영업입니다
여기 혹시 피시방 영업시간이 언제까지인가요?	피시방은 대부분 24시간 영업입니다
여기 혹시 피시방 영업시간이 언제까지인가요?	24시간입니다
여기 피시방 영업시간이 어떻게 돼요?	피시방은 24시간입니다
혹시 피시방 영업시간이 언제까지인가요?	24시간 영업입니다
피시방 영업시간이 어떻게 되나요?	24시간 영업입니다
혹시 피시방 영업시간이 어떻게 되나요?	저희는 영업시간이 24시간입니다
혹시 여기 피시방 영업시간이 어떻게 됩니까?	24시간입니다
혹시 여기 피시방 영업시간이 어떻게 되나요?	피시방은 어디든 24시간입니다
혹시 여기 피시방 영업시간이 언제까지인가요?	24시간 영업입니다
혹시 여기 피시방 영업시간이 언제까지인가요?	24시간 영업입니다
여기 피시방 영업시간이 언제부터 언제까지예요?	24시간이요
여기 PC방 영업시간이 언제까지예요?	24시간 영업합니다
여기 PC방 영업시간이 몇 시까지예요?	저희 24시간 영업하고 있습니다
혹시 PC방 영업시간이 언제까지인가요?	저희는 24시간 영업합니다
PC방 영업시간이 언제까지인가요?	영업시간은 24시간이에요
PC방 영업시간이 언제까지인가요?	저희 24시간 영업합니다
여기 PC방 영업시간이 몇 시까지예요?	저희는 24시간 영업해요
PC방 영업시간이 어떻게 되십니까?	24시간 영업합니다
PC방 영업시간이 24시간인가요?	네 24시간 영업합니다
혹시 PC방 영업시간이 언제부터 언제까지인가요?	24시간 영업합니다
영업시간이 어떻게 되나요?	저희는 24시간 영업합니다
영업시간 알 수 있을까요?	24시간 연중무휴입니다
혹시 영업시간이 어떻게 되나요?	24시간 영업합니다
여기 혹시 영업시간이 언제까지인가요?	저희는 24시간 영업합니다
여기 혹시 영업시간이 언제부터 언제까지인가요?	저희 피시방은 24시간 영업합니다
PC방 영업시간이 어떻게 되나요?	영업시간은 24시간이에요
혹시 이용 시간 알 수 있을까요?	저희 PC방은 24시간 운영합니다
여기 짜파게티 컵라면이 얼마에요?	1500원입니다
아이스티는 얼마인가요	1500원입니다
아이스티는 얼마인가요?	1500원입니다
얼마인가요?	3500원입니다
사발면은 얼마인가요?	하나에 이천 원입니다
햄버거 세트 얼마에요	5500원이에요
컵라면 주문하고 싶은데 얼마에요?	2000원입니다
간식 가격도 올랐네요	요새 물가가 다 올라서 어쩔 수 없네요
얼마죠?	4500원입니다
튀김 가락국수는 얼마에요?	1500원입니다
라면은 가격이 어떻게 되나요?	천 원입니다
외부 음식 반입이 되나요?	외부 음식은 반입은 안 됩니다
외부 음식도 주문할 수 있나요?	아니요 외부 음식은 주문하실 수 없으세요
혹시 여기 음식 시켜 먹을 수 있나요?	음식 시켜드시는 거는 안됩니다
좀 이따가 올려고 하는데 여기서 시켜 먹는 건 안되죠?	저희도 메뉴 있는데 정 맘에 안 들면 그냥 시켜 먹으셔도 돼요
외부 음식 반입도 가능한가요?	여기서 파는 음식만 가능합니다
밖에서 음식 사와도 되나요?	죄송하지만 외부 음식은 반입금지입니다
혹시 짜장면 시켜 먹어도 되나요	외부 음식은 반입금지입니다
혹시 계란 반숙 가능한가요?	원래 그냥 풀어서 드리는데 반숙으로 해드릴게요
돈가스 썰지 않고 주실 수 있나요?	네 가능합니다
오늘 사람이 많은데 음식도 오래 걸릴까요?	네 오늘은 마찬가지로 10분 정도 걸릴 거 같아 앉아서 미리 주문하시는 게 나아요
얼마나 더 기다려야 되는데요?	약 15분 정도 더 기다리셔야 합니다
아니 30분 전에 주문했는데 라면이 아직도 안 나오는 게 말이 되나요?	현재 저녁시간이라 주문이 많이 몰렸어요
여기 아까 주문한 라면 언제나 오나요	현재 준비 중입니다
돈가스 주문하면 얼마나 걸리죠?	대략 20분 정도 걸립니다
바로 나오나요?	네 제가 조리해 드려요
혹시 음식 주문은 피씨에서 할 수 있나요?	예 음식 주문은 피씨에서 가능합니다
자리에서 음식도 주문할 수 있을까요?	예 하지만 회원만 자리에서 음식 주문이 가능합니다
음식은 뭐 어떤 게 있을까요?	음료부터 식사까지 다양하게 있습니다
혹시 자리에서 음식 주문 가능한가요?	예 주문하면 가능합니다
혹시 자리에서 음식 주문이라든지 이런 건 할 수 있나요?	예 자리에서 음식 주문 가능합니다
혹시 음식 주문도 가능한가요?	네 음식 주문도 가능합니다
자리에서 음식도 주문 가능할까요?	예 자리에서 음식 주문 가능합니다
음식은 갖다 주시는 건가요?	예 음식은 갖다 드립니다
혹시 음식도 주문도 자리에서 가능할까요?	예 주문도 자리에서 가능합니다
음식 주문도 혹시 자리에서 가능한가요?	예 자리에서 음식 주문 가능합니다
