Erdogan Spieß	German
Ian Trubin B.Sc.	German
Herr Friedhold Wähner	German
Univ.Prof. Oda Klapp MBA.	German
Ing. Michelle Scheel	German
Ivo Flantz	German
Herta Segebahn	German
Hartmuth Preiß	German
Gertrude Harloff	German
Sigurd Sorgatz	German
Sibel Koch II	German
Pascal Hermighausen	German
Univ.Prof. Korinna Scholz B.Sc.	German
Friedl Rosemann	German
Hans-Peter Klapp B.Sc.	German
Karl-Peter Putz	German
Timo Köhler	German
Friedericke Graf-Preiß	German
Herr Ronald Lübs B.A.	German
Artur Ruppersberger B.Eng.	German
Francoise Säuberlich	German
Luigi Striebitz	German
Herr Gabor Döhn	German
Galina Herrmann	German
Lilian Junk	German
Dr. Reinhilde Schmidtke	German
Oswald Reuter B.Sc.	German
Gerard Loos	German
Hans-Herbert Putz-Jüttner	German
Mikhail Tintzmann	German
Irmengard Kruschwitz	German
Ayse Lindau	German
Ing. Lisette Albers B.Sc.	German
Apostolos Mangold B.A.	German
Christian Huhn	German
Laura Mitschke B.A.	German
Heinz-Dieter Hövel	German
Hildburg Oderwald	German
Dr. Katerina Gierschner	German
Carl-Heinz Stumpf B.Sc.	German
Hubertus Gotthard B.Eng.	German
Gunther Junk	German
Leyla Fritsch-Nohlmans	German
Stefani Geisler B.Eng.	German
Prof. Hanns Oestrovsky B.Eng.	German
Nurten Koch	German
Hella Lindner-Neuschäfer	German
Ernst-Dieter Bonbach	German
Karl-Hans Staude	German
Dipl.-Ing. Cathrin Schinke	German
Johann Baum	German
Werner Müller B.Eng.	German
Jose Klotz	German
Herr Mohammed Stahr B.Eng.	German
Danilo Klapp	German
Abram Blümel	German
Ioannis Wernecke	German
Martha Kreusel	German
Klara Scholz-Hethur	German
Rosalinde Linke	German
Jonas Baum	German
Univ.Prof. Susanna Boucsein	German
Mohammed Schäfer	German
Hilda Radisch	German
Gunar Albers MBA.	German
Karl Stolze	German
Franjo Kroker	German
Beatrice Löchel	German
Bert Steinberg	German
Valentin Schleich	German
Liane Beyer	German
Daniele Henck	German
David Langern-Riehl	German
Klaus-Michael Hertrampf	German
Dipl.-Ing. Patric Striebitz	German
Tino Zahn	German
Frank Siering	German
Darko Plath	German
Erhardt Christoph	German
Lena Mielcarek-Eigenwillig	German
Wilhelmine Kambs	German
Betty Ullrich	German
Undine Hein	German
Dr. Hans-Michael Kabus	German
Prof. Alicja Gude B.A.	German
Hans-Uwe Hölzenbecher MBA.	German
Jakob Höfig B.Eng.	German
Renato Spieß	German
Ivonne Mude	German
Gaby Junk	German
Artur Trapp-Etzler	German
Jochen Schlosser-Putz	German
Ditmar Birnbaum B.Eng.	German
Rudolf Söding	German
Dipl.-Ing. Piotr Striebitz	German
Dipl.-Ing. Friedericke Reuter B.Sc.	German
Freya Fiebig	German
Malgorzata Killer	German
Andy Warmer	German
Univ.Prof. Claus-Peter Süßebier B.A.	German
Moritz Kostolzin	German
Gretchen Bolander	German
Hans-Willi Adler B.Sc.	German
Hedy Gröttner	German
Dipl.-Ing. Ralph Wieloch	German
Ottfried Karz-Schmiedt	German
Klara Söding	German
Jens-Peter Margraf-Grein Groth	German
Dipl.-Ing. Leonhard Scholl	German
Claire Hertrampf	German
Iwona Hartung	German
Joseph Rogge	German
Ing. Marlis Plath	German
Vinko Gertz	German
Hans Georg Spieß	German
Hans-Gerd Holsten	German
Abdul Wende	German
Hilma Freudenberger	German
Ulla Caspar	German
Hildegart Gerlach	German
Prof. Hans-Henning Fliegner MBA.	German
Korbinian Mans-Wulff	German
Univ.Prof. Wolf-Rüdiger Liebelt B.A.	German
Susanna Schottin-Kusch	German
Hans-Jörg Gorlitz	German
Stanislaw Bolander	German
Caroline Geißler	German
Ing. Birgitt Paffrath B.Sc.	German
Alena Schuster-Döring	German
